id,userid,text,timestamp
49,5,Where are my pants ,2010-02-23 23:01:14
50,5,Do you have any idea why this is not working ,2011-04-05 23:38:15
51,5,Do you have any idea why this is not working ,2011-12-09 19:27:38
52,5,The arguments can be primitive data types or compound data types ,2010-08-02 21:33:13
53,5,Make me a sandwich ,2012-02-06 20:42:47
54,6,Atoms are used within a program to denote distinguished values ,2012-01-26 09:33:05
55,6,I don t even care ,2010-03-06 22:04:47
56,6,Ports are used to communicate with the external world ,2011-04-14 02:25:15
57,6,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2011-02-15 21:34:40
58,6,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2010-08-01 02:01:42
59,6,Ports are created with the built in function open port ,2010-04-01 04:37:49
60,6,Ports are created with the built in function open port ,2011-03-20 12:34:55
61,6,Ports are used to communicate with the external world ,2011-05-21 23:31:42
62,6,I don t even care ,2012-05-25 16:51:07
63,7,Ports are created with the built in function open port ,2010-11-25 01:45:34
64,7,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2011-07-12 15:04:12
65,7,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2012-12-15 00:54:23
66,7,Ports are created with the built in function open port ,2012-08-31 16:41:03
67,7,Ports are created with the built in function open port ,2012-04-02 10:48:55
68,7,Its main implementation is the Glasgow Haskell Compiler ,2011-12-09 17:38:10
69,7,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2010-06-28 19:18:07
70,7,It is also a garbage collected runtime system ,2010-09-07 05:24:40
71,7,Where are my pants ,2011-11-18 04:58:16
72,8,Where are my pants ,2011-01-11 06:57:13
73,8,I don t even care ,2012-06-20 11:16:19
74,8,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2011-04-05 08:42:43
75,8,Do you have any idea why this is not working ,2011-12-14 18:37:10
76,8,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2012-09-21 18:44:24
77,8,She spent her earliest years reading classic literature  and writing poetry ,2010-11-08 09:42:09
78,8,I don t even care ,2010-07-10 23:34:45
79,8,Any element of a tuple can be accessed in constant time ,2011-12-15 08:47:39
80,8,Type classes first appeared in the Haskell programming language ,2012-05-05 06:56:23
81,9,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-04-04 23:57:23
82,9,Do you come here often ,2011-05-19 17:03:13
83,9,Make me a sandwich ,2010-06-29 23:59:30
84,9,Erlang is a general purpose  concurrent  functional programming language ,2012-12-20 13:32:35
85,9,She spent her earliest years reading classic literature  and writing poetry ,2011-10-13 18:29:44
86,9,I don t even care ,2011-04-10 13:27:21
87,9,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2012-02-05 02:50:45
88,9,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2012-03-11 23:41:09
89,9,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2010-09-30 08:01:01
90,10,Do you come here often ,2012-01-01 05:50:32
91,10,Ports are used to communicate with the external world ,2011-01-21 12:11:38
92,10,Make me a sandwich ,2010-06-27 02:00:51
93,10,Do you come here often ,2010-06-19 18:47:45
94,10,Erlang is known for its designs that are well suited for systems ,2010-09-15 07:22:31
95,10,Tuples are containers for a fixed number of Erlang data types ,2011-02-04 06:45:37
96,10,The arguments can be primitive data types or compound data types ,2011-08-13 04:47:19
97,10,Do you come here often ,2010-06-28 00:32:36
98,10,Any element of a tuple can be accessed in constant time ,2010-09-27 22:24:27
99,11,I don t even care ,2012-07-06 03:34:59
100,11,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2010-11-10 12:25:09
101,11,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2012-09-29 11:46:53
102,11,Atoms are used within a program to denote distinguished values ,2011-03-17 06:58:47
103,11,Ports are used to communicate with the external world ,2012-01-07 18:57:11
104,11,Erlang is known for its designs that are well suited for systems ,2012-02-06 13:37:06
105,11,Haskell features a type system with type inference and lazy evaluation ,2012-01-04 09:45:55
106,11,Erlang is a general purpose  concurrent  functional programming language ,2011-08-20 12:33:42
107,11,Ports are used to communicate with the external world ,2011-10-02 02:09:12
108,12,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2010-01-04 16:30:30
109,12,I don t even care ,2010-08-31 11:53:32
110,12,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2012-04-01 22:41:08
111,12,She spent her earliest years reading classic literature  and writing poetry ,2010-01-11 15:36:27
112,12,Ports are created with the built in function open port ,2012-12-20 17:38:56
113,12,Any element of a tuple can be accessed in constant time ,2011-03-17 20:10:55
114,12,The arguments can be primitive data types or compound data types ,2010-11-04 04:53:21
115,12,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2012-09-21 18:24:19
116,12,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-08-31 23:48:23
117,13,Its main implementation is the Glasgow Haskell Compiler ,2012-12-06 18:29:43
118,13,Tuples are containers for a fixed number of Erlang data types ,2011-05-30 15:25:26
119,13,Ports are created with the built in function open port ,2010-05-31 10:05:39
120,13,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2011-03-23 18:32:40
121,13,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2010-10-18 07:07:30
122,13,Ports are created with the built in function open port ,2010-04-10 09:33:30
123,13,Tuples are containers for a fixed number of Erlang data types ,2010-08-05 05:11:14
124,13,Its main implementation is the Glasgow Haskell Compiler ,2012-02-05 01:27:44
125,13,She spent her earliest years reading classic literature  and writing poetry ,2010-08-13 08:13:00
126,14,Type classes first appeared in the Haskell programming language ,2011-06-25 12:59:42
127,14,The arguments can be primitive data types or compound data types ,2011-02-12 04:35:11
128,14,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2011-02-19 01:53:36
129,14,I don t even care ,2010-10-30 15:31:04
130,14,He looked inquisitively at his keyboard and wrote another sentence ,2012-08-22 17:32:08
131,14,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2010-11-07 07:29:13
132,14,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2012-06-08 18:11:12
133,14,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2012-02-23 17:14:26
134,14,Ports are created with the built in function open port ,2012-12-09 09:54:40
135,15,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2012-08-17 21:21:41
136,15,Type classes first appeared in the Haskell programming language ,2012-04-10 22:52:41
137,15,Erlang is known for its designs that are well suited for systems ,2011-07-19 02:43:41
138,15,Where are my pants ,2011-03-19 04:42:27
139,15,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-08-26 06:56:48
140,15,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2010-03-16 08:40:57
141,15,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2011-01-10 16:06:16
142,15,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-04-18 20:00:37
143,15,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2010-09-13 04:52:44
144,16,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2011-12-20 04:40:52
145,16,I don t even care ,2011-12-20 07:13:20
146,16,The arguments can be primitive data types or compound data types ,2011-08-24 16:12:58
147,16,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2010-05-29 10:33:28
148,16,Type classes first appeared in the Haskell programming language ,2010-05-28 22:25:28
149,16,Erlang is known for its designs that are well suited for systems ,2012-07-12 03:30:27
150,16,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2011-10-14 21:08:33
151,16,Its main implementation is the Glasgow Haskell Compiler ,2011-06-28 16:35:01
152,16,Do you come here often ,2011-03-23 01:55:02
153,17,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2011-04-11 03:01:15
154,17,Erlang is known for its designs that are well suited for systems ,2012-04-13 04:02:54
155,17,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2011-07-23 07:37:46
156,17,Haskell features a type system with type inference and lazy evaluation ,2010-04-29 15:20:39
157,17,Erlang is known for its designs that are well suited for systems ,2012-07-28 21:45:53
158,17,Its main implementation is the Glasgow Haskell Compiler ,2012-05-16 07:28:42
159,17,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2010-12-21 20:06:17
160,17,It is also a garbage collected runtime system ,2010-02-03 03:24:17
161,17,Haskell features a type system with type inference and lazy evaluation ,2010-09-18 11:15:41
162,18,I don t even care ,2012-10-04 18:06:00
163,18,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2010-11-19 01:03:09
164,18,Ports are created with the built in function open port ,2010-09-29 18:46:09
165,18,In 1989 the building was heavily damaged by fire  but it has since been restored ,2011-04-10 08:48:57
166,18,He looked inquisitively at his keyboard and wrote another sentence ,2012-03-05 14:55:17
167,18,Do you have any idea why this is not working ,2011-01-04 18:14:36
168,18,Ports are created with the built in function open port ,2012-01-29 06:21:20
169,18,Tuples are containers for a fixed number of Erlang data types ,2012-11-29 05:55:47
170,18,Erlang is a general purpose  concurrent  functional programming language ,2012-04-07 06:58:47
171,19,Erlang is a general purpose  concurrent  functional programming language ,2010-03-22 01:33:45
172,19,Erlang is known for its designs that are well suited for systems ,2011-01-28 06:27:16
173,19,Do you come here often ,2011-10-20 23:30:31
174,19,Do you have any idea why this is not working ,2010-06-29 09:03:55
175,19,Any element of a tuple can be accessed in constant time ,2011-10-12 18:46:55
176,19,In 1989 the building was heavily damaged by fire  but it has since been restored ,2010-07-01 21:55:17
177,19,Ports are used to communicate with the external world ,2010-11-22 23:53:46
178,19,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2010-12-23 09:32:48
179,19,Ports are created with the built in function open port ,2011-06-10 08:57:20
180,20,Do you have any idea why this is not working ,2012-09-05 23:20:12
181,20,Do you have any idea why this is not working ,2011-07-15 23:53:29
182,20,It is also a garbage collected runtime system ,2011-07-30 00:19:37
183,20,Make me a sandwich ,2011-10-02 12:09:31
184,20,Atoms are used within a program to denote distinguished values ,2010-09-25 08:17:42
185,20,In 1989 the building was heavily damaged by fire  but it has since been restored ,2011-08-28 05:16:02
186,20,Haskell features a type system with type inference and lazy evaluation ,2010-03-30 07:25:24
187,20,Erlang is known for its designs that are well suited for systems ,2010-10-07 20:49:09
188,20,Do you come here often ,2010-11-11 13:16:28
189,21,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2010-09-10 19:58:49
190,21,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-10-15 00:09:30
191,21,Make me a sandwich ,2011-04-07 02:51:58
192,21,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2011-07-28 18:48:32
193,21,Type classes first appeared in the Haskell programming language ,2010-07-01 06:12:27
194,21,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2012-10-04 02:49:14
195,21,Do you have any idea why this is not working ,2011-03-13 00:00:07
196,21,Its main implementation is the Glasgow Haskell Compiler ,2011-02-07 19:49:37
197,21,Atoms are used within a program to denote distinguished values ,2012-04-23 18:19:16
198,22,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2011-09-13 18:49:51
199,22,Do you have any idea why this is not working ,2010-02-19 10:43:24
200,22,Make me a sandwich ,2011-04-01 03:44:10
201,22,The arguments can be primitive data types or compound data types ,2012-04-30 16:36:51
202,22,She spent her earliest years reading classic literature  and writing poetry ,2010-03-03 13:46:42
203,22,He looked inquisitively at his keyboard and wrote another sentence ,2010-11-20 06:39:32
204,22,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2012-11-24 04:14:28
205,22,Any element of a tuple can be accessed in constant time ,2011-10-07 13:44:43
206,22,Haskell features a type system with type inference and lazy evaluation ,2012-05-12 14:52:44
207,23,In 1989 the building was heavily damaged by fire  but it has since been restored ,2010-05-09 07:15:47
208,23,He looked inquisitively at his keyboard and wrote another sentence ,2012-08-15 00:52:09
209,23,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2012-04-20 15:50:27
210,23,Erlang is known for its designs that are well suited for systems ,2010-02-08 12:12:09
211,23,Its main implementation is the Glasgow Haskell Compiler ,2010-10-01 18:44:19
212,23,Where are my pants ,2011-09-27 20:14:59
213,23,It is also a garbage collected runtime system ,2010-02-11 21:33:38
214,23,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2011-03-16 05:44:24
215,23,Erlang is known for its designs that are well suited for systems ,2010-03-10 03:54:24
216,24,The arguments can be primitive data types or compound data types ,2010-08-02 06:03:02
217,24,He looked inquisitively at his keyboard and wrote another sentence ,2012-06-07 18:20:26
218,24,She spent her earliest years reading classic literature  and writing poetry ,2011-04-08 11:16:29
219,24,Tuples are containers for a fixed number of Erlang data types ,2011-05-31 18:33:04
220,24,Atoms are used within a program to denote distinguished values ,2011-12-11 14:12:25
221,24,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2010-08-11 18:22:26
222,24,Haskell features a type system with type inference and lazy evaluation ,2012-02-24 01:44:56
223,24,It is also a garbage collected runtime system ,2010-11-05 21:20:13
224,24,The arguments can be primitive data types or compound data types ,2012-06-21 22:59:01
225,25,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2012-11-03 04:10:06
226,25,Erlang is known for its designs that are well suited for systems ,2012-04-04 13:11:20
227,25,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2011-01-20 17:41:13
228,25,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-01-05 03:49:30
229,25,Erlang is known for its designs that are well suited for systems ,2012-08-12 06:06:43
230,25,Do you come here often ,2011-12-31 21:46:59
231,25,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2012-06-14 10:48:01
232,25,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2012-02-03 22:32:41
233,25,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2011-09-14 21:17:38
234,26,Do you come here often ,2012-01-06 15:49:09
235,26,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2011-04-13 18:50:43
236,26,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2010-08-03 00:24:50
237,26,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2012-04-15 22:38:00
238,26,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2012-05-19 10:05:38
239,26,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2012-10-29 12:04:00
240,26,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2012-06-02 22:21:51
241,26,Erlang is known for its designs that are well suited for systems ,2012-09-18 18:26:58
242,26,It is also a garbage collected runtime system ,2011-03-30 05:08:51
243,27,Erlang is known for its designs that are well suited for systems ,2011-05-20 23:12:44
244,27,She spent her earliest years reading classic literature  and writing poetry ,2010-04-04 08:12:44
245,27,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2010-11-04 12:23:07
246,27,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2010-10-05 22:31:05
247,27,She spent her earliest years reading classic literature  and writing poetry ,2012-01-15 05:04:05
248,27,Do you come here often ,2010-09-24 22:41:09
249,27,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2010-05-13 10:52:07
250,27,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2010-05-19 14:43:40
251,27,I don t even care ,2011-03-15 01:21:20
252,28,It is also a garbage collected runtime system ,2012-06-17 20:55:37
253,28,The arguments can be primitive data types or compound data types ,2012-11-08 17:26:50
254,28,Erlang is known for its designs that are well suited for systems ,2012-06-20 19:04:16
255,28,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2012-02-05 08:28:58
256,28,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2012-07-18 02:14:42
257,28,The arguments can be primitive data types or compound data types ,2012-10-15 12:30:24
258,28,Do you come here often ,2011-09-14 01:45:06
259,28,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2012-01-07 19:15:45
260,28,Where are my pants ,2010-05-09 07:25:27
261,29,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-12-09 08:04:59
262,29,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-01-11 11:42:50
263,29,Any element of a tuple can be accessed in constant time ,2011-06-29 07:38:48
264,29,He looked inquisitively at his keyboard and wrote another sentence ,2011-08-04 15:38:27
265,29,The arguments can be primitive data types or compound data types ,2011-01-13 17:25:17
266,29,Ports are used to communicate with the external world ,2011-05-22 03:40:06
267,29,Where are my pants ,2012-08-20 13:50:47
268,29,Do you have any idea why this is not working ,2010-11-02 07:31:40
269,29,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-07-06 08:24:03
270,30,Do you have any idea why this is not working ,2011-01-10 17:09:35
271,30,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2010-04-02 11:57:29
272,30,Tuples are containers for a fixed number of Erlang data types ,2010-08-15 23:43:36
273,30,Erlang is a general purpose  concurrent  functional programming language ,2011-01-02 22:12:49
274,30,Haskell features a type system with type inference and lazy evaluation ,2012-02-21 13:55:37
275,30,Where are my pants ,2011-04-26 22:50:14
276,30,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-05-02 01:14:06
277,30,She spent her earliest years reading classic literature  and writing poetry ,2012-02-18 21:59:53
278,30,Haskell features a type system with type inference and lazy evaluation ,2012-03-07 10:45:18
279,31,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2011-03-10 04:22:17
280,31,Any element of a tuple can be accessed in constant time ,2011-01-18 04:13:18
281,31,The sequential subset of Erlang supports eager evaluation  single assignment  and dynamic typing ,2012-08-14 17:33:17
282,31,Atoms are used within a program to denote distinguished values ,2011-01-09 09:26:36
283,31,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2012-12-29 08:53:55
284,31,Do you come here often ,2012-09-17 10:59:38
285,31,Atoms are used within a program to denote distinguished values ,2012-04-29 13:07:24
286,31,Where are my pants ,2010-05-26 22:41:22
287,31,Do you have any idea why this is not working ,2010-08-18 10:05:13
288,32,Tuples are containers for a fixed number of Erlang data types ,2012-07-29 20:27:36
289,32,Do you have any idea why this is not working ,2010-05-25 11:21:55
290,32,Do you come here often ,2010-01-01 04:27:44
291,32,In 1989 the building was heavily damaged by fire  but it has since been restored ,2011-10-30 15:06:28
292,32,Where are my pants ,2010-12-09 05:05:27
293,32,I don t even care ,2011-10-28 13:48:32
294,32,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-02-24 22:00:54
295,32,I don t even care ,2012-12-04 23:50:48
296,32,In 1989 the building was heavily damaged by fire  but it has since been restored ,2010-09-02 19:53:38
297,33,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2010-09-13 20:09:21
298,33,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2011-12-11 04:31:43
299,33,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2010-02-12 15:45:26
300,33,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2011-08-27 16:46:44
301,33,Type classes first appeared in the Haskell programming language ,2012-05-16 07:26:24
302,33,Haskell is a standardized  general purpose purely functional programming language  with non strict semantics and strong static typing ,2012-10-28 12:51:37
303,33,Make me a sandwich ,2011-04-09 21:27:31
304,33,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2010-05-17 06:22:39
305,33,Tuples are containers for a fixed number of Erlang data types ,2011-02-14 16:24:34
306,34,Messages can be sent to and received from ports  but these messages must obey the so called  port protocol  ,2010-10-26 19:30:54
307,34,Its main implementation is the Glasgow Haskell Compiler ,2011-07-25 15:02:55
308,34,She spent her earliest years reading classic literature  and writing poetry ,2010-09-22 12:42:00
309,34,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-08-05 17:04:46
310,34,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2010-11-12 00:17:38
311,34,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2012-06-28 14:10:27
312,34,In 1989 the building was heavily damaged by fire  but it has since been restored ,2012-05-15 05:10:35
313,34,Haskell features a type system with type inference and lazy evaluation ,2012-04-02 12:29:39
314,34,Type classes first appeared in the Haskell programming language ,2010-10-09 22:42:58
315,35,Any element of a tuple can be accessed in constant time ,2011-10-30 20:10:38
316,35,Atoms are used within a program to denote distinguished values ,2011-07-14 15:01:51
317,35,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2012-12-01 09:48:35
318,35,Ports are used to communicate with the external world ,2012-05-02 08:19:14
319,35,Make me a sandwich ,2012-06-07 16:38:57
320,35,Erlang is a general purpose  concurrent  functional programming language ,2010-05-06 23:05:42
321,35,They are written as strings of consecutive alphanumeric characters  the first character being lowercase ,2010-02-14 05:13:42
322,35,Type classes first appeared in the Haskell programming language ,2012-05-19 12:10:01
323,35,In 1989 the building was heavily damaged by fire  but it has since been restored ,2010-09-26 21:56:27
324,36,Atoms are used within a program to denote distinguished values ,2011-10-05 03:04:27
325,36,The syntax  D1 D2     Dn  denotes a tuple whose arguments are D1  D2      Dn ,2012-12-09 19:56:47
326,36,Ports are used to communicate with the external world ,2012-10-28 18:01:44
327,36,I don t even care ,2012-06-22 22:17:01
328,36,In 1989 the building was heavily damaged by fire  but it has since been restored ,2011-10-16 06:27:40
329,36,Do you come here often ,2012-09-12 12:04:32
330,36,Erlang is known for its designs that are well suited for systems ,2010-08-05 17:16:43
331,36,Ports are used to communicate with the external world ,2010-06-06 16:30:14
332,36,Make me a sandwich ,2011-02-04 06:31:08
333,37,He looked inquisitively at his keyboard and wrote another sentence ,2010-12-19 20:24:36
334,37,The Galactic Empire is nearing completion of the Death Star  a space station with the power to destroy entire planets ,2010-04-16 20:32:42
335,37,Ports are created with the built in function open port ,2011-04-19 23:25:49
336,37,It is also a garbage collected runtime system ,2012-10-20 03:54:40
337,37,Erlang is a general purpose  concurrent  functional programming language ,2011-08-27 16:19:49
338,37,Erlang is a general purpose  concurrent  functional programming language ,2010-06-04 00:43:32
339,37,Its main implementation is the Glasgow Haskell Compiler ,2010-06-13 05:39:12
340,37,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom ,2012-05-03 23:59:58
341,37,Initially composing light hearted and irreverent works  he also wrote serious  sombre and religious pieces beginning in the 1930s ,2010-02-16 05:40:24
342,38,Erlang is known for its designs that are well suited for systems ,2010-12-23 02:14:44
343,38,Haskell features a type system with type inference and lazy evaluation ,2012-08-08 13:09:43
344,38,Tuples are containers for a fixed number of Erlang data types ,2011-03-15 11:25:10
345,38,Haskell features a type system with type inference and lazy evaluation ,2012-06-14 08:51:00
346,38,Any element of a tuple can be accessed in constant time ,2010-12-26 15:39:57
347,38,Its main implementation is the Glasgow Haskell Compiler ,2011-09-17 11:03:06
348,38,He looked inquisitively at his keyboard and wrote another sentence ,2012-06-01 17:23:51
349,38,It is also a garbage collected runtime system ,2010-10-18 21:09:53
350,38,Ports are created with the built in function open port ,2010-08-26 15:02:36
351,39,Erlang is a general purpose  concurrent  functional programming language ,2011-10-18 03:37:36
