userid,postid,timestamp
635,6300,2011-04-07 17:29:00
903,4446,2014-04-11 05:55:07
288,4898,2011-03-06 22:37:20
88,6708,2012-01-20 23:30:22
161,6708,2011-08-11 14:52:28
768,6347,2013-06-28 13:29:41
442,3868,2015-11-22 16:23:53
221,7155,2010-02-20 20:27:18
73,63,2010-01-10 12:40:19
585,1413,2010-09-13 16:52:43
577,4348,2014-06-14 03:36:34
293,7262,2017-01-04 13:30:09
791,4087,2011-03-10 21:53:40
562,7975,2011-02-07 04:17:36
441,1598,2013-05-27 09:28:30
487,8625,2013-02-27 12:17:17
594,8709,2011-02-21 14:48:43
481,3884,2015-07-15 14:59:18
176,7479,2011-08-18 16:01:13
906,7841,2017-04-02 01:18:45
201,976,2011-01-02 22:57:21
23,452,2013-02-16 01:56:01
718,492,2016-04-30 14:52:37
228,2973,2016-11-18 02:12:18
212,597,2014-07-21 18:33:18
794,5951,2010-01-04 15:30:33
308,4666,2010-03-09 00:53:29
78,987,2014-07-02 08:13:22
459,7118,2017-10-27 23:08:07
822,6481,2015-07-08 03:36:07
551,1181,2013-12-17 10:08:18
695,595,2017-10-01 09:00:05
337,4443,2015-09-18 08:24:08
547,8434,2017-02-24 20:48:30
420,8695,2013-04-18 04:33:35
812,6964,2015-12-31 14:14:51
62,815,2017-09-13 19:19:35
606,8460,2012-01-13 04:17:19
79,8167,2011-04-28 19:13:05
38,5481,2013-01-11 17:02:10
95,2927,2012-10-21 06:47:17
431,7789,2016-04-29 19:07:21
557,6439,2012-07-16 00:04:22
872,2374,2017-04-03 09:55:51
492,6579,2014-02-11 10:16:39
401,2266,2015-08-12 13:18:27
836,4330,2014-03-10 19:54:30
435,7258,2010-10-15 15:19:12
495,2883,2016-10-06 02:41:49
644,2601,2011-03-26 08:27:25
986,8520,2014-10-09 14:14:26
546,8030,2015-06-04 12:36:49
894,5458,2017-08-05 04:54:04
409,7819,2013-03-07 06:31:24
672,5257,2012-05-18 08:17:04
614,2043,2015-04-10 21:35:05
462,6191,2010-08-22 06:32:43
211,4091,2017-05-27 10:54:42
394,4072,2010-01-14 19:33:09
962,7557,2010-10-09 13:25:53
369,1876,2017-03-03 09:18:47
406,3384,2013-11-09 23:08:10
907,3074,2017-03-23 01:47:30
684,2256,2017-10-01 00:56:15
593,7246,2011-12-27 02:01:02
939,3593,2016-09-07 05:37:02
541,6558,2016-03-28 19:09:50
394,2535,2011-01-11 06:40:17
204,5863,2017-11-08 23:19:50
133,6680,2011-10-05 02:51:49
808,7385,2015-01-16 07:42:12
551,1422,2016-11-18 06:07:26
747,7858,2011-10-10 19:15:51
566,988,2013-10-20 15:10:02
645,2334,2011-11-09 15:26:50
68,7225,2012-10-30 20:28:44
425,3822,2015-12-21 07:01:15
332,7996,2017-04-24 19:21:58
274,2133,2012-08-26 00:40:16
222,7046,2015-01-09 08:34:18
853,8897,2014-09-03 18:49:33
564,1330,2016-09-20 00:52:05
828,1570,2010-02-22 20:33:41
927,7097,2011-02-19 07:38:55
374,5191,2016-10-26 01:46:47
938,4381,2012-11-03 02:12:12
974,5939,2011-09-09 17:01:28
28,6190,2017-02-05 05:22:56
946,5541,2016-07-26 11:16:16
984,5970,2013-06-09 03:15:25
120,1095,2013-08-03 06:20:33
25,4738,2013-01-14 20:07:15
990,3070,2016-11-20 19:29:37
637,2650,2016-12-09 19:40:29
259,2662,2013-01-01 14:43:19
629,2265,2012-06-06 13:00:22
535,7728,2017-05-25 06:43:12
568,7165,2016-10-11 21:55:14
584,1350,2016-03-22 15:59:48
316,4225,2014-07-13 20:25:46
67,8215,2017-08-08 20:21:45
422,1424,2016-09-15 06:08:27
513,3595,2010-05-02 17:45:39
736,4600,2017-10-20 22:19:52
655,4280,2016-06-16 13:38:03
860,699,2012-08-01 05:36:02
509,1452,2010-02-18 18:50:30
420,7157,2012-10-14 06:56:08
380,4230,2012-12-07 14:06:18
749,3587,2016-06-18 16:50:09
820,2744,2016-06-16 21:12:24
595,7053,2014-04-28 14:39:56
446,4583,2010-07-02 13:58:20
611,1300,2015-09-17 15:54:11
782,4991,2011-09-10 14:45:56
196,7210,2017-10-01 03:09:34
268,2655,2017-06-14 22:20:25
734,7562,2010-08-19 17:42:57
795,3547,2013-11-11 07:28:08
620,5559,2010-05-05 07:10:17
150,7233,2012-05-05 22:49:09
580,3817,2010-05-14 12:13:10
50,6807,2013-07-31 01:58:45
743,3214,2013-08-04 00:39:59
321,5622,2017-12-17 17:42:47
678,7989,2011-01-24 15:56:57
943,3863,2013-10-27 12:42:21
136,6880,2011-11-12 06:52:40
524,4463,2010-08-18 20:27:30
760,8273,2014-09-04 10:22:17
760,8809,2013-10-31 21:56:47
327,6273,2015-07-01 14:19:25
184,4903,2015-06-14 06:38:37
625,1574,2017-06-07 22:42:56
52,412,2015-08-19 21:13:19
727,2051,2010-08-06 06:56:21
467,3614,2014-02-07 19:12:18
368,8331,2012-05-27 21:00:49
459,2001,2016-04-28 09:41:27
451,5967,2011-03-08 04:17:01
736,8031,2017-03-16 22:22:23
252,6334,2015-03-15 16:14:18
714,6556,2015-11-19 15:48:29
941,5297,2011-11-09 00:44:39
456,1417,2017-05-22 18:33:32
974,19,2013-10-10 05:49:28
564,6674,2017-02-05 20:39:50
472,3381,2017-01-27 11:22:57
362,6432,2016-06-28 17:27:11
349,6702,2012-02-22 20:21:00
646,1276,2016-03-31 13:42:05
632,2008,2011-02-21 15:00:58
488,4747,2012-04-24 11:12:02
380,694,2014-11-27 12:07:45
995,6111,2016-08-27 08:11:41
135,3123,2016-06-16 02:15:26
417,3242,2017-03-15 20:36:00
944,8981,2012-08-12 22:20:32
496,852,2014-05-15 11:16:51
123,6072,2010-12-12 17:11:22
366,8034,2016-06-13 04:33:46
486,463,2014-02-22 22:14:01
523,4940,2016-02-08 22:16:25
873,8152,2014-08-08 21:44:31
230,1930,2011-06-23 14:43:43
906,6172,2012-04-22 23:01:17
702,3416,2015-03-13 03:32:43
236,7472,2016-10-02 08:57:46
72,4682,2017-09-23 00:36:59
135,6202,2017-08-17 23:18:51
526,7858,2011-10-16 08:38:24
928,4232,2011-04-16 01:55:52
994,6607,2017-11-05 07:53:44
160,7232,2015-06-27 13:09:37
435,1195,2016-01-18 06:39:58
879,7732,2012-05-15 09:47:38
899,3371,2011-08-01 08:37:47
205,8807,2012-04-07 00:51:24
94,2602,2014-11-17 09:04:16
338,2920,2014-11-22 18:00:54
124,3347,2013-12-13 09:44:36
566,7362,2015-09-09 16:44:58
288,3247,2017-11-27 02:23:48
850,8537,2017-11-02 19:43:03
751,8597,2010-10-07 02:22:07
663,2107,2016-05-17 18:24:58
323,4682,2013-01-08 06:29:46
470,3098,2014-08-08 17:47:20
452,3402,2010-01-31 12:42:27
35,2938,2011-01-18 23:07:26
718,2876,2013-04-15 07:07:05
754,1296,2010-09-05 21:40:39
893,6661,2012-05-13 22:17:41
630,5578,2012-07-28 06:45:42
703,2289,2014-04-09 07:50:22
635,634,2014-10-13 12:26:04
894,443,2017-02-16 09:52:20
120,7489,2014-06-07 02:58:11
895,5737,2014-04-29 18:02:56
651,829,2011-03-29 20:46:41
927,3721,2010-10-22 17:45:05
873,4039,2014-06-06 20:09:02
944,867,2017-03-20 21:01:49
245,4760,2010-04-18 08:35:48
572,7060,2010-11-26 15:36:33
995,4293,2015-06-05 13:10:07
102,4168,2010-01-15 17:50:47
385,6016,2014-07-19 23:27:53
327,2548,2010-05-17 06:20:08
672,261,2015-04-08 22:51:48
730,1766,2015-01-05 01:05:55
919,5460,2010-09-17 23:52:42
281,1946,2010-07-22 05:56:19
781,6351,2014-07-04 06:01:22
237,8838,2011-06-18 06:28:07
15,7498,2012-01-12 13:06:37
767,4095,2012-06-07 13:12:00
739,1721,2016-05-17 20:56:06
731,1716,2015-12-10 08:09:34
995,6124,2015-09-06 01:18:59
364,2663,2010-07-21 17:56:45
265,4599,2015-08-17 03:42:27
361,214,2012-07-30 22:45:01
917,5054,2012-01-28 11:51:06
353,2617,2011-09-01 04:57:48
673,3719,2011-03-30 10:58:58
44,4118,2010-04-20 11:36:20
349,1151,2016-06-18 02:42:34
864,3633,2010-11-05 12:22:19
501,7205,2014-06-03 10:53:49
136,5082,2017-12-15 18:05:14
604,8920,2015-10-19 08:44:32
657,4401,2016-02-14 15:57:37
986,1401,2015-03-30 02:11:50
750,2718,2010-07-29 14:27:30
822,8759,2016-07-14 19:43:10
971,2356,2016-04-17 01:52:59
700,2752,2015-10-04 13:58:04
396,4478,2015-04-14 10:14:00
766,8361,2011-10-21 23:51:21
799,2992,2017-05-20 18:11:01
441,2387,2011-09-21 22:00:15
630,6319,2013-12-07 18:56:26
592,8455,2017-01-15 19:08:01
95,3911,2012-05-16 09:30:33
87,3818,2011-05-02 01:44:23
337,6842,2010-04-23 08:21:48
987,8721,2012-10-17 13:31:22
602,5817,2010-12-12 10:44:22
762,2849,2012-08-03 11:26:27
448,1884,2015-11-23 12:00:37
806,8797,2016-08-10 23:53:15
37,2165,2017-11-16 08:16:29
952,4972,2012-01-02 02:07:29
326,8878,2014-07-29 14:07:43
671,4055,2012-04-06 01:04:25
329,8357,2013-06-03 18:53:54
955,6396,2015-07-10 20:41:57
368,5513,2012-11-23 07:05:26
433,7375,2014-09-29 09:01:47
942,2461,2010-08-22 12:03:09
794,738,2011-08-04 06:35:12
271,483,2011-08-04 07:10:18
172,233,2017-08-11 00:31:48
307,3524,2011-11-21 20:26:00
287,2352,2016-03-17 07:11:39
561,550,2016-06-21 12:16:37
814,7552,2014-07-16 22:47:29
37,4824,2015-04-07 22:20:22
677,1133,2011-07-04 16:59:32
430,3418,2010-06-10 22:34:05
609,5496,2010-02-25 11:48:30
592,5462,2011-12-23 11:25:02
711,5415,2010-05-25 10:27:19
39,415,2015-03-11 21:12:01
987,7394,2012-04-14 21:48:48
551,2453,2017-04-26 07:53:30
931,5066,2014-05-20 03:35:15
450,2976,2014-02-19 19:41:07
381,5815,2010-05-13 00:18:13
2,8845,2010-11-02 07:10:34
22,2806,2011-05-23 00:17:17
356,2950,2011-02-15 15:37:11
733,8939,2016-10-11 13:02:22
310,5940,2013-11-07 13:48:06
121,7473,2010-07-31 11:05:46
275,4963,2013-05-16 23:20:23
191,6339,2014-10-04 00:17:52
52,5883,2013-03-08 21:10:32
527,7523,2014-12-13 03:45:09
360,4672,2011-01-01 09:43:22
770,6332,2012-03-15 12:16:18
399,8449,2010-08-29 19:28:50
774,7479,2017-07-28 09:51:56
373,3829,2016-06-15 12:52:34
195,1596,2012-10-24 16:53:40
848,6103,2017-07-03 22:48:23
365,8577,2011-10-18 05:59:03
186,542,2012-02-11 00:07:41
732,8311,2010-08-29 01:51:30
494,3830,2017-04-09 01:31:24
888,5451,2011-12-02 15:12:57
406,1598,2010-09-23 15:35:13
86,3437,2014-04-02 06:56:25
788,5964,2010-11-16 17:13:51
182,6901,2010-11-21 11:58:04
529,3377,2015-04-17 14:17:56
842,7641,2010-02-19 01:53:35
180,2177,2013-07-02 20:47:19
651,3746,2010-03-20 10:52:37
481,5926,2012-02-16 07:44:35
456,4263,2012-12-06 01:56:02
222,325,2014-04-07 05:05:11
629,7519,2012-10-13 08:41:36
27,8586,2014-08-18 12:32:25
855,5944,2010-05-14 14:10:35
662,1674,2012-06-25 00:52:59
102,3838,2016-07-17 21:10:58
11,8019,2017-09-12 19:58:38
826,4731,2010-06-04 07:47:00
957,3699,2015-10-22 16:57:41
125,1015,2013-06-21 11:35:14
343,7742,2011-10-21 12:06:51
41,1942,2015-09-08 03:12:45
991,6354,2014-10-18 19:20:22
710,7634,2015-01-28 11:52:14
984,8368,2012-07-19 11:14:08
737,8721,2012-08-17 09:32:16
747,726,2017-04-22 19:22:45
68,2233,2010-05-20 12:56:50
797,5447,2011-06-17 00:35:28
499,1503,2013-09-29 11:54:19
301,1019,2012-09-16 08:41:13
281,7920,2013-09-16 17:33:39
238,8448,2016-10-21 17:00:51
386,5358,2012-11-02 15:40:56
751,6322,2011-12-19 02:17:58
584,7159,2011-08-13 02:47:31
404,5808,2010-06-09 13:58:40
190,1056,2016-06-09 08:01:16
690,7876,2013-07-20 16:19:23
971,2454,2011-06-26 03:44:40
714,8994,2016-06-02 01:01:58
210,6181,2011-04-17 11:45:08
80,4073,2010-07-30 19:22:30
678,7620,2010-11-05 03:10:41
547,622,2011-05-05 16:59:02
999,4054,2014-09-14 16:12:47
963,6392,2013-02-21 00:54:09
40,4679,2013-06-04 17:01:12
740,3319,2012-11-21 08:38:42
405,687,2016-07-14 15:54:47
269,629,2011-01-17 12:35:59
789,3377,2016-05-08 07:14:38
287,8701,2010-12-18 03:34:38
356,8759,2014-11-27 16:57:06
95,2472,2011-08-22 00:12:42
199,7171,2017-08-29 13:02:23
168,8909,2017-12-27 08:03:46
72,549,2010-02-19 03:50:27
305,5459,2015-11-17 11:56:28
495,1847,2013-04-04 16:59:46
498,1448,2013-09-13 01:19:31
15,5030,2012-11-29 16:30:19
991,2466,2016-05-08 00:01:33
106,497,2014-11-04 15:38:18
463,4258,2013-05-16 05:32:46
840,7045,2013-04-27 13:01:45
522,2882,2013-07-19 03:23:22
177,1039,2011-12-06 01:53:47
603,4057,2014-04-02 02:05:58
780,5714,2012-02-08 13:34:59
408,2006,2015-03-13 13:59:43
586,4287,2015-01-28 11:41:59
803,1389,2010-01-21 05:31:57
132,3183,2011-09-06 20:31:31
290,3654,2012-10-31 17:29:49
954,7059,2014-01-30 19:16:40
264,3544,2014-05-30 02:34:44
751,7906,2012-12-20 05:06:06
962,8934,2012-01-09 08:38:31
231,7179,2011-11-03 17:24:08
29,4137,2011-12-09 05:56:44
391,2041,2013-02-28 04:54:28
870,3637,2013-04-18 11:40:43
659,6233,2013-11-07 21:55:39
289,3987,2011-12-12 22:01:04
107,7438,2015-03-16 11:53:24
505,7307,2017-11-17 22:41:42
869,2033,2014-07-05 13:06:53
188,2668,2015-03-10 19:46:37
773,1520,2013-05-27 13:08:28
617,3422,2017-08-15 13:19:54
194,7599,2017-11-22 19:41:43
96,7032,2014-05-28 11:45:43
278,8077,2017-04-30 16:26:08
170,213,2014-05-11 19:22:23
815,7166,2013-12-31 04:55:24
717,4362,2017-11-28 19:51:47
957,6974,2014-12-29 06:43:31
892,2839,2015-08-22 10:30:08
616,2193,2010-02-15 17:17:01
937,4986,2015-05-06 11:53:36
66,5983,2016-04-23 08:47:21
20,7707,2017-07-26 13:29:47
993,7297,2016-10-28 13:39:20
148,31,2014-10-19 20:25:34
415,633,2013-04-20 06:50:36
741,8442,2010-04-11 21:35:06
649,2128,2012-10-30 07:39:38
478,1854,2012-01-18 10:45:55
468,2082,2012-10-23 13:40:43
608,4914,2010-06-10 16:01:36
370,265,2011-01-27 22:38:21
245,6987,2011-03-09 18:28:51
934,4650,2014-01-30 14:28:39
491,8334,2016-06-29 20:40:42
479,1300,2016-04-04 05:38:47
972,5814,2013-08-14 13:31:57
63,2972,2012-07-19 06:49:27
587,1812,2015-07-25 02:13:48
571,6788,2013-09-12 20:29:10
804,4379,2010-09-23 05:26:08
368,4110,2015-12-13 19:51:23
303,3311,2014-12-23 06:08:48
621,6264,2014-02-08 05:47:33
257,7885,2015-05-30 06:00:10
757,5558,2017-03-26 10:14:40
793,4265,2015-06-20 18:57:11
909,4568,2014-03-10 19:51:42
981,3561,2013-02-17 15:07:25
402,7083,2012-12-08 13:25:06
896,5109,2015-09-16 03:00:19
119,1251,2011-08-22 07:12:40
904,3300,2012-03-23 14:13:26
996,5377,2014-05-18 01:10:36
952,5632,2012-01-01 14:03:02
683,3146,2015-01-07 18:40:49
121,7294,2015-04-12 16:27:00
119,8939,2015-10-01 15:44:37
364,2867,2011-04-17 20:22:49
721,4583,2013-12-10 12:42:28
296,8210,2011-08-02 03:54:34
968,4695,2017-04-14 06:53:19
14,7804,2017-04-14 03:42:33
132,5242,2015-09-11 16:59:21
744,8790,2011-07-18 16:42:22
194,394,2013-02-26 18:19:52
99,6405,2017-02-27 06:17:52
21,2147,2017-11-26 10:53:15
501,3326,2013-02-23 13:44:14
499,3028,2012-01-04 04:01:16
563,3280,2013-12-29 15:29:15
724,8731,2011-03-20 11:58:02
803,8190,2010-08-15 17:47:25
603,7511,2016-04-20 12:00:51
845,700,2010-07-21 08:43:27
123,151,2014-02-22 16:49:36
343,4183,2011-07-10 04:16:13
996,6640,2015-03-28 16:14:02
57,3912,2010-12-22 18:36:17
669,501,2014-09-05 00:15:38
435,6025,2011-08-21 14:55:30
548,7070,2017-02-24 19:05:08
494,2049,2017-01-16 01:10:04
268,7458,2015-08-09 15:20:49
946,1933,2012-06-05 22:48:08
112,2595,2015-05-19 16:23:15
632,8495,2012-12-06 12:44:36
30,771,2010-08-11 19:47:46
425,1596,2012-01-04 14:19:28
255,1778,2016-02-13 23:33:23
417,5170,2015-04-29 19:37:56
302,2834,2010-06-15 22:11:50
364,4047,2011-09-08 03:52:43
98,5658,2016-07-25 04:18:31
299,87,2012-04-29 21:26:41
961,1798,2016-03-11 11:52:37
136,5485,2014-08-01 15:49:29
249,7637,2013-07-03 11:25:38
435,2843,2011-02-15 23:44:29
454,2217,2010-06-19 16:14:44
476,2843,2011-10-01 05:44:00
246,5921,2010-03-20 05:58:25
380,4104,2011-07-15 21:28:31
101,8841,2017-07-16 21:24:11
304,5365,2013-06-08 10:52:00
565,4143,2013-03-29 22:10:06
126,688,2012-06-16 06:24:04
532,5395,2014-08-19 11:35:29
385,2879,2017-12-27 09:26:30
519,3496,2014-05-27 05:34:29
186,3502,2012-11-09 03:18:32
570,7822,2010-01-14 16:24:21
680,57,2014-09-27 20:10:08
667,1305,2012-03-19 16:15:06
685,7023,2016-01-06 09:10:45
845,884,2015-02-26 04:35:42
640,5089,2016-10-02 17:09:21
856,7657,2016-09-16 16:25:26
523,7415,2015-10-17 19:56:00
127,8254,2013-05-11 04:18:31
842,3187,2011-11-12 05:46:17
971,321,2011-05-26 01:23:20
845,8537,2012-06-06 16:09:23
702,7464,2012-09-02 04:10:27
861,531,2014-02-11 06:13:33
352,1378,2016-10-20 04:50:37
683,3632,2011-08-31 09:05:51
362,4362,2011-02-03 18:49:33
79,8226,2011-01-05 05:01:59
602,8281,2014-09-11 18:53:24
719,1344,2015-10-25 14:27:33
918,3317,2015-07-08 03:30:17
236,963,2010-07-25 03:12:17
879,7804,2017-03-04 02:51:10
965,7522,2017-07-04 14:47:19
107,7675,2017-07-24 03:52:08
398,2836,2015-09-03 20:22:12
783,3229,2013-02-23 18:45:38
457,4825,2016-06-16 14:45:20
30,4095,2013-12-08 12:40:07
311,4090,2014-07-27 09:28:29
506,2333,2011-02-09 20:41:49
643,7752,2011-12-10 05:32:50
992,988,2013-03-23 23:17:14
295,5415,2013-04-05 04:42:42
223,8988,2012-12-13 22:00:15
853,332,2014-07-02 10:11:17
507,5728,2016-05-26 19:55:40
274,3938,2012-08-28 16:42:23
795,4555,2010-08-28 21:02:11
766,5475,2012-04-04 00:16:57
183,7919,2016-06-21 11:36:34
811,4293,2016-05-25 22:16:34
671,8543,2017-09-15 15:02:57
876,154,2012-07-28 03:35:24
663,1341,2014-06-11 08:47:08
163,879,2017-10-20 04:45:37
762,8060,2013-01-21 05:17:35
447,6426,2012-04-04 15:43:23
548,6582,2012-07-15 02:19:41
85,5723,2011-08-22 04:31:41
216,8368,2012-12-19 03:08:38
226,1612,2015-07-08 08:01:31
818,503,2010-06-02 22:16:04
507,6656,2015-10-08 20:51:00
871,4979,2015-02-16 07:57:13
963,6558,2012-08-13 14:56:07
747,36,2014-05-17 06:21:03
423,8835,2011-05-28 04:52:06
419,6845,2011-03-11 08:19:39
476,8211,2014-05-07 10:47:38
424,5304,2013-05-10 15:23:13
513,785,2017-08-31 10:18:07
918,5559,2016-01-12 00:18:35
837,4032,2012-06-11 08:15:55
111,910,2016-08-17 04:35:07
744,6001,2017-08-29 03:02:52
536,156,2014-10-20 07:47:54
731,894,2017-03-08 09:46:24
735,6725,2014-07-03 14:05:05
513,4159,2014-04-19 21:58:48
701,1812,2014-04-07 18:09:40
132,3013,2010-12-03 10:53:05
240,7282,2012-07-06 20:53:00
924,3036,2014-10-24 08:05:52
646,3581,2012-10-15 09:17:14
747,771,2012-12-04 14:45:12
963,3029,2015-02-24 22:19:51
56,4921,2017-08-11 08:44:39
484,5288,2016-06-18 17:17:00
922,6468,2015-08-27 18:06:17
730,5125,2014-11-21 10:11:37
873,6927,2011-01-05 18:26:51
896,7839,2014-05-03 03:10:17
676,2035,2013-03-20 18:47:50
186,3209,2014-01-26 23:01:16
367,7784,2012-07-31 09:25:01
924,2014,2012-09-28 10:09:53
639,17,2017-01-03 16:49:21
467,6126,2010-12-14 12:55:48
978,6330,2011-04-27 06:15:02
48,7600,2013-02-08 23:25:51
251,4420,2017-01-28 03:54:30
670,7133,2010-01-12 16:36:30
662,5608,2012-11-16 18:51:54
994,8476,2011-02-22 04:31:59
370,6138,2010-11-21 00:48:32
592,1523,2017-05-06 22:00:45
119,6811,2015-09-05 11:13:31
274,318,2013-04-02 00:15:39
749,873,2015-02-10 03:22:11
717,3867,2017-10-19 06:16:47
849,412,2014-04-02 07:47:29
49,6591,2010-03-13 07:02:44
198,981,2013-04-20 22:37:22
323,3990,2015-07-04 18:58:28
288,1469,2013-06-15 00:28:25
281,2626,2011-12-05 04:08:55
865,7656,2014-03-29 20:05:19
905,1278,2017-02-22 03:45:58
306,8492,2010-07-26 17:13:36
669,6514,2013-05-26 04:01:18
369,2075,2010-10-31 08:17:54
542,6545,2014-07-02 16:21:22
47,5117,2010-01-18 11:27:46
597,2656,2017-05-19 06:52:31
111,1988,2010-02-21 15:23:35
353,4522,2015-02-01 04:22:00
131,3351,2010-01-05 23:33:52
923,6645,2015-08-11 10:43:45
813,3220,2014-10-07 23:20:35
919,4208,2016-11-08 00:32:17
341,7814,2010-12-18 22:32:24
567,273,2010-10-17 01:24:43
488,1408,2015-03-20 16:37:40
767,3325,2012-06-30 07:26:13
37,7032,2010-05-03 00:10:05
509,3665,2012-07-13 14:09:50
570,3616,2017-07-10 22:52:49
144,8213,2016-02-14 21:14:52
542,3578,2013-02-08 11:17:04
654,8055,2016-07-03 19:42:21
529,1846,2014-03-26 03:16:47
363,6145,2013-02-06 05:54:59
459,6481,2017-07-27 20:42:51
403,6382,2013-10-19 14:18:21
957,4865,2017-08-16 08:46:12
115,5138,2011-06-01 14:00:17
665,4436,2014-05-20 11:37:05
509,3288,2016-03-09 13:05:30
347,7320,2017-01-09 20:44:33
113,4692,2011-10-10 16:17:04
914,5944,2015-06-09 13:34:43
853,5731,2014-07-21 04:24:56
550,5191,2012-08-08 01:41:17
369,359,2010-02-25 00:47:51
626,1361,2015-06-18 21:05:26
374,7841,2012-01-20 11:35:01
57,2069,2017-11-15 19:06:14
454,3712,2010-01-29 20:44:01
880,4590,2015-09-06 02:01:38
694,8039,2011-08-30 01:51:12
607,8770,2014-05-21 19:00:58
480,7792,2016-08-26 03:20:23
208,5810,2013-02-13 21:38:15
113,2647,2016-07-30 09:52:41
831,7819,2012-05-03 06:12:57
778,5820,2014-01-09 18:15:50
974,1133,2010-07-26 08:19:34
428,1868,2011-01-13 09:40:57
683,7086,2011-12-03 06:30:33
550,6578,2010-09-27 05:18:34
729,7753,2015-07-12 14:23:03
314,2162,2011-03-25 06:57:51
49,822,2013-08-26 20:41:20
943,7452,2016-12-02 18:27:59
60,3231,2012-07-05 22:55:40
292,327,2017-10-15 16:24:04
307,4759,2014-04-16 05:03:45
422,2701,2013-06-18 15:37:26
927,5985,2013-04-07 06:43:21
798,5863,2010-10-08 12:53:22
38,943,2017-02-19 05:57:42
598,7164,2011-01-12 22:47:06
433,4908,2011-07-30 18:45:23
218,6491,2012-06-17 18:07:20
244,969,2017-01-02 07:57:10
152,3745,2017-12-15 15:02:37
625,6675,2014-07-30 13:33:33
149,8617,2016-05-20 08:21:07
270,1449,2011-02-22 08:14:54
438,4662,2010-11-04 11:09:06
680,1233,2016-12-04 02:57:34
778,168,2014-04-14 21:50:27
148,4969,2013-11-28 17:10:04
904,2382,2010-02-24 05:54:11
930,8289,2015-07-16 11:08:25
177,8828,2013-10-17 15:17:46
457,4415,2013-10-22 09:47:40
877,7522,2017-05-18 06:44:18
27,4375,2015-01-09 06:55:04
524,2550,2011-06-17 18:03:59
31,5416,2015-09-04 22:29:41
205,1505,2014-03-04 00:52:23
565,108,2012-03-03 02:08:41
966,6631,2012-11-16 00:36:09
237,3601,2017-01-22 16:41:26
981,2116,2016-04-02 09:14:31
720,3956,2015-12-31 08:54:58
313,1338,2013-07-03 17:00:27
515,4710,2017-06-10 06:09:02
232,2510,2013-10-16 16:58:05
15,5258,2012-06-19 01:14:42
405,5202,2017-06-10 14:14:26
938,2366,2015-10-26 18:34:38
405,5713,2014-06-09 16:16:35
161,2379,2016-11-12 10:09:41
409,4039,2014-05-17 02:44:58
186,7701,2016-07-16 00:33:16
166,6452,2010-07-25 05:22:09
530,8191,2012-06-22 07:09:10
