userid1,userid2,timestamp
598,828,2014-10-23 13:11:52
956,478,2017-07-17 02:22:29
331,203,2010-06-26 16:11:33
362,315,2014-05-24 03:53:54
573,934,2016-10-31 11:02:57
772,591,2016-10-16 06:58:11
688,308,2012-06-23 00:03:58
226,264,2014-09-19 19:45:49
718,695,2015-08-16 21:23:18
934,289,2013-12-13 21:31:46
245,270,2017-05-12 05:32:29
549,427,2010-10-03 04:14:07
167,433,2011-08-12 00:34:19
79,402,2011-02-23 16:51:00
235,252,2011-07-27 06:24:37
519,769,2016-05-17 13:07:40
198,675,2017-04-17 21:57:45
6,485,2014-11-29 06:36:39
110,980,2011-06-03 18:59:23
465,939,2010-12-03 07:19:08
67,224,2012-07-24 00:22:19
763,920,2011-02-20 07:38:56
963,135,2012-07-03 06:35:41
321,599,2016-03-28 20:12:11
331,865,2014-03-23 14:46:34
714,214,2017-10-28 02:12:12
144,162,2015-05-25 11:56:05
924,224,2013-11-17 01:02:33
983,480,2012-03-27 05:40:58
51,900,2012-06-16 10:35:48
750,301,2013-07-26 06:17:57
978,387,2016-11-07 09:26:25
520,989,2011-11-21 22:26:54
167,443,2015-09-09 11:09:27
705,169,2013-03-08 14:07:37
74,702,2017-02-25 08:52:16
697,476,2016-09-13 01:19:59
979,74,2014-01-11 22:09:31
614,143,2017-11-05 17:08:53
3,393,2010-05-09 18:15:04
834,881,2014-10-01 19:44:37
760,501,2011-02-26 06:48:05
981,173,2015-11-04 22:46:17
373,200,2010-08-24 12:21:12
439,68,2015-07-20 11:08:14
277,991,2013-06-16 23:55:59
835,607,2017-01-08 19:31:45
759,247,2011-05-27 07:36:47
835,887,2016-05-16 17:14:41
207,849,2017-04-26 06:17:11
150,735,2016-06-09 11:03:18
232,51,2012-02-26 09:02:59
649,515,2016-04-08 17:54:42
175,866,2015-09-01 01:38:01
515,997,2011-12-29 02:55:25
696,655,2013-12-17 20:32:21
104,876,2010-12-21 00:50:07
643,673,2013-01-18 11:49:49
71,266,2013-02-16 15:22:52
974,532,2013-03-28 20:36:35
470,737,2012-12-29 17:49:58
588,425,2015-01-25 20:32:53
965,463,2012-07-21 05:19:22
332,269,2016-12-16 23:11:02
713,726,2015-05-11 16:21:19
431,663,2015-10-03 10:24:09
806,902,2010-07-10 11:57:10
279,986,2012-09-06 04:10:11
183,952,2010-06-15 19:44:46
883,914,2016-02-12 15:53:16
892,516,2012-03-19 16:37:47
555,135,2010-04-26 01:11:55
336,52,2017-02-02 03:03:43
66,772,2010-12-29 19:36:46
195,404,2015-10-22 20:21:45
604,49,2016-04-01 21:23:35
638,694,2013-06-18 02:31:56
70,985,2016-11-21 11:05:15
625,385,2013-11-27 18:36:09
53,682,2015-08-03 08:56:00
652,107,2010-10-28 00:13:56
970,963,2016-12-18 15:45:34
190,786,2011-03-17 14:23:29
962,140,2013-05-20 05:46:17
607,504,2015-05-08 17:47:57
941,850,2012-08-03 15:59:37
218,424,2010-02-20 09:20:31
55,355,2016-08-02 20:12:49
920,489,2015-02-23 15:17:50
61,475,2016-06-07 00:27:52
616,90,2012-11-17 11:12:24
450,146,2012-03-11 22:33:22
38,127,2012-02-02 15:27:55
41,840,2015-06-13 12:58:29
577,965,2012-10-10 20:44:23
770,35,2015-07-10 11:12:30
306,270,2016-06-24 02:24:17
824,927,2015-12-13 06:01:36
911,117,2013-08-09 15:50:21
797,936,2013-12-21 13:43:57
144,6,2014-04-21 13:24:11
9,465,2013-05-05 15:14:52
783,159,2015-05-01 11:46:28
368,665,2012-03-29 17:40:16
467,4,2017-12-24 02:02:18
559,184,2013-08-03 21:55:48
411,956,2014-07-31 10:27:20
102,586,2015-07-06 14:57:20
660,100,2014-05-26 23:25:42
430,664,2015-03-15 13:44:12
572,788,2015-07-15 05:06:53
721,854,2017-10-29 06:06:21
881,735,2012-07-14 22:59:04
465,330,2015-05-16 21:11:45
198,142,2015-10-16 03:36:21
784,636,2015-02-27 08:28:53
761,673,2014-04-09 01:01:59
440,36,2014-01-15 15:38:28
550,494,2012-02-20 07:17:58
746,20,2011-02-14 19:30:56
7,627,2014-10-01 16:16:27
430,457,2013-02-15 20:50:15
609,973,2011-07-22 01:43:46
78,292,2014-11-03 15:56:18
151,370,2010-06-06 03:15:59
192,814,2017-10-30 01:57:34
53,893,2016-06-17 15:41:30
391,981,2012-11-20 14:38:36
214,709,2015-05-23 12:04:08
822,239,2012-12-08 05:28:12
449,362,2015-04-09 15:53:32
671,331,2014-08-17 13:02:58
800,997,2014-09-21 14:52:14
245,433,2011-03-06 05:49:55
365,528,2013-02-27 07:53:41
589,546,2011-12-26 06:20:49
984,681,2011-06-28 00:22:18
86,784,2014-03-28 01:14:21
142,584,2011-02-13 11:50:39
500,802,2017-03-26 10:39:27
11,186,2010-02-04 11:00:42
356,373,2011-07-24 10:53:26
244,181,2011-11-14 12:36:10
660,628,2016-06-21 19:31:45
394,991,2017-02-11 23:07:29
566,308,2014-12-24 17:59:54
671,811,2012-08-20 12:07:28
881,37,2010-10-14 17:47:59
80,600,2013-08-02 14:19:50
57,175,2012-03-11 23:39:45
336,505,2011-10-27 12:35:24
287,430,2016-02-27 23:46:07
325,829,2016-11-23 02:24:02
165,5,2014-05-18 02:09:45
571,821,2015-07-27 02:38:39
458,71,2012-01-18 08:12:02
856,850,2013-07-24 21:44:20
442,820,2011-03-11 03:35:58
768,31,2016-06-20 23:02:00
411,728,2011-11-21 00:08:12
760,521,2011-11-26 18:53:23
725,928,2017-04-25 21:55:15
707,566,2015-02-28 01:28:49
342,784,2017-12-02 01:15:11
553,454,2012-03-22 02:02:39
359,453,2014-09-03 09:55:52
251,78,2015-11-10 14:00:46
835,548,2012-11-07 21:36:01
718,625,2017-09-10 00:54:52
498,982,2014-09-14 21:39:32
545,253,2014-09-23 00:24:32
277,688,2016-11-07 20:12:03
366,785,2014-05-08 16:58:58
179,828,2017-02-05 03:51:31
998,330,2015-07-11 08:00:36
114,861,2014-03-24 08:01:26
237,961,2013-06-06 17:23:37
143,773,2012-02-11 15:43:08
830,29,2013-11-08 02:08:49
587,340,2017-06-19 22:05:31
952,647,2013-04-04 07:22:52
264,320,2017-01-02 10:38:57
177,269,2016-10-01 04:47:41
991,337,2010-12-14 09:37:28
611,67,2013-09-18 06:02:58
234,670,2012-09-20 04:30:24
948,919,2014-11-28 20:54:41
896,6,2014-02-05 13:56:02
545,866,2016-08-08 20:54:15
938,920,2010-04-08 06:00:02
340,379,2017-12-18 20:53:11
626,632,2013-08-18 01:51:39
656,361,2014-11-09 10:14:17
173,738,2011-01-12 04:48:03
19,720,2016-07-21 07:56:53
996,345,2015-07-26 08:39:58
693,336,2013-02-08 05:50:02
528,616,2015-10-15 08:01:53
76,115,2010-04-03 06:13:43
502,117,2010-12-16 00:06:06
590,210,2013-03-09 18:29:43
20,421,2014-05-27 23:27:23
984,807,2011-09-06 22:55:56
81,601,2011-09-08 14:08:45
960,226,2015-04-06 13:08:06
252,416,2012-06-30 09:59:54
332,1,2017-01-01 11:26:26
404,14,2012-03-06 14:19:08
642,282,2012-10-16 05:12:05
897,328,2010-07-12 04:58:16
286,951,2017-10-18 14:29:26
107,431,2011-04-18 12:24:06
655,603,2017-09-19 04:14:56
33,24,2010-10-13 05:15:30
816,469,2014-01-22 01:10:10
918,584,2010-10-07 21:25:12
194,159,2012-04-15 14:00:58
785,516,2014-05-19 06:04:12
675,598,2011-12-09 02:27:54
627,816,2012-03-18 03:32:25
264,897,2014-07-09 12:57:52
344,455,2011-02-12 21:10:12
597,161,2015-01-26 07:39:20
273,761,2017-10-04 08:34:20
731,939,2012-09-09 08:44:56
185,610,2015-03-26 20:53:58
750,577,2014-08-12 04:14:17
27,487,2014-10-14 09:10:53
399,179,2014-01-01 11:16:08
280,766,2014-04-16 05:44:58
75,930,2013-07-29 20:47:51
637,98,2011-02-21 16:22:17
463,698,2016-11-29 11:23:54
423,143,2014-08-16 00:12:39
595,645,2011-03-16 01:35:57
929,440,2014-05-28 09:28:01
590,353,2014-10-16 15:35:39
976,948,2013-01-03 16:42:55
729,719,2015-01-22 19:52:28
889,191,2015-04-10 06:03:46
605,104,2013-03-11 04:22:10
414,99,2016-08-25 08:25:12
1,792,2012-06-20 08:45:23
160,272,2012-12-12 10:04:45
248,773,2012-07-15 04:41:34
3,926,2017-01-13 09:59:37
23,570,2011-11-18 04:29:31
782,955,2017-03-25 05:07:49
897,591,2012-11-23 09:23:50
765,944,2014-01-22 00:17:33
858,318,2013-12-07 05:40:02
760,243,2014-02-07 08:31:48
311,732,2011-05-06 07:17:24
236,962,2015-06-14 02:52:03
18,299,2013-06-13 12:23:18
910,124,2013-06-02 00:42:25
10,761,2010-02-12 21:21:07
215,39,2013-10-28 19:53:03
655,60,2015-08-11 22:47:50
202,703,2012-09-03 17:33:02
386,59,2012-11-08 17:03:41
715,348,2013-03-09 09:12:54
256,830,2014-08-10 09:40:38
663,80,2010-05-10 07:53:48
705,189,2016-11-30 01:21:55
939,130,2010-12-19 13:30:56
92,556,2010-11-04 09:48:08
598,653,2015-02-25 13:04:59
703,612,2010-05-05 22:51:06
570,623,2011-07-17 09:59:08
780,651,2017-05-20 19:03:44
493,631,2014-05-11 11:22:29
901,929,2015-09-20 23:05:24
374,119,2011-11-18 11:08:08
201,541,2013-04-03 13:59:04
614,310,2012-10-31 09:27:54
410,844,2010-05-18 17:51:08
435,484,2015-09-01 02:05:54
991,475,2013-05-04 02:44:22
893,662,2010-03-01 10:12:55
847,935,2012-03-17 06:43:03
920,260,2010-12-14 17:41:18
816,438,2016-07-21 20:54:42
582,268,2011-04-15 00:29:28
506,744,2014-06-09 22:51:20
301,185,2017-09-04 17:18:12
724,904,2011-12-29 21:48:25
936,923,2014-04-18 18:57:07
352,437,2011-11-10 08:13:11
222,960,2013-09-12 16:40:14
299,712,2016-12-24 15:44:06
929,144,2010-12-08 21:32:13
528,298,2012-09-27 13:39:04
994,485,2015-09-26 03:01:07
779,179,2014-02-03 05:25:02
404,937,2014-04-10 08:00:03
648,332,2017-11-24 09:12:58
387,823,2017-02-28 10:20:04
257,459,2012-04-16 17:07:37
761,659,2015-11-28 12:05:46
923,827,2013-03-28 09:39:20
823,884,2013-09-03 08:44:18
519,582,2010-02-19 11:45:45
204,306,2011-04-01 12:14:46
594,571,2014-04-15 23:41:37
393,928,2016-04-05 19:40:09
522,986,2010-03-02 08:18:09
926,784,2017-09-23 11:02:07
216,210,2013-03-21 10:58:52
165,644,2012-01-17 15:45:59
388,942,2015-04-23 16:02:05
924,426,2011-04-05 01:52:15
588,394,2017-10-06 18:22:33
902,616,2013-09-01 00:34:36
565,842,2016-01-01 14:33:50
871,822,2016-03-28 06:44:29
345,701,2011-03-03 02:20:19
484,62,2010-04-10 12:51:42
676,338,2014-12-04 15:21:16
874,620,2015-05-28 22:49:29
318,768,2010-05-20 15:27:50
751,865,2014-05-31 18:14:21
217,419,2016-10-05 08:37:45
65,378,2014-01-20 12:06:51
66,456,2017-08-23 13:37:25
86,86,2017-07-13 21:54:42
879,450,2016-12-11 02:48:16
167,200,2017-08-31 04:29:59
626,648,2014-05-19 03:42:27
958,114,2012-09-22 15:02:34
383,299,2015-02-20 13:37:52
452,95,2013-07-21 06:05:27
234,419,2013-05-12 11:11:53
466,124,2016-11-30 04:07:49
626,401,2010-10-11 04:32:28
915,485,2014-08-28 00:50:56
765,761,2010-06-08 02:51:12
619,736,2012-05-03 22:21:43
786,202,2013-09-08 08:22:19
540,567,2010-02-09 22:24:53
52,257,2013-11-03 20:53:02
208,28,2011-06-19 10:27:17
75,963,2012-08-21 04:35:51
492,778,2011-12-07 02:13:42
467,176,2013-11-29 23:13:08
32,423,2017-10-23 01:25:35
673,720,2014-08-27 16:03:04
826,706,2012-08-27 00:03:43
924,278,2016-02-15 19:48:42
811,163,2015-11-07 07:39:15
511,794,2016-07-14 07:23:51
950,280,2011-10-18 04:31:09
750,826,2010-01-17 20:48:51
41,482,2016-12-28 19:22:35
200,908,2010-03-14 16:14:29
966,894,2017-05-25 13:37:10
380,327,2014-12-15 04:43:33
165,391,2012-11-21 00:58:29
996,62,2011-07-29 16:04:55
599,16,2016-02-25 09:45:57
832,708,2014-02-02 00:19:40
635,688,2015-12-18 21:45:32
924,486,2015-08-07 20:29:41
545,829,2014-04-06 10:03:46
826,251,2012-06-26 09:11:35
625,572,2014-09-07 04:42:31
173,478,2010-07-27 20:56:59
507,665,2010-03-20 04:38:08
949,759,2016-11-14 08:14:52
885,490,2012-01-13 13:36:51
329,728,2010-03-02 18:16:55
278,68,2011-06-16 13:24:37
240,110,2016-02-13 23:51:19
470,203,2011-11-24 04:06:29
953,898,2010-08-02 16:44:09
488,570,2015-07-12 12:38:25
664,840,2010-05-28 21:04:21
64,523,2011-09-11 11:11:34
193,592,2017-02-09 21:18:09
910,506,2015-02-17 18:35:43
711,502,2015-08-25 14:09:43
786,927,2012-09-20 00:02:44
93,185,2016-09-01 18:52:58
324,756,2011-10-27 11:12:55
826,971,2015-05-05 12:56:19
333,602,2013-07-09 20:45:40
122,35,2014-08-04 11:54:07
103,470,2016-04-20 17:49:50
342,412,2013-07-05 00:09:27
856,266,2015-03-09 02:06:50
983,796,2014-03-03 02:04:49
392,847,2015-09-04 22:25:04
360,882,2014-07-17 19:24:16
705,757,2012-10-22 17:23:47
191,450,2016-04-01 06:44:50
783,285,2013-01-03 11:52:06
411,119,2014-04-12 17:25:08
380,393,2014-05-28 18:20:30
925,428,2012-08-28 09:41:21
786,531,2014-05-24 01:34:46
201,466,2012-03-07 00:48:17
13,123,2013-02-14 23:52:21
942,881,2017-01-16 08:36:18
28,650,2016-02-28 11:36:31
256,169,2017-10-25 03:56:51
474,989,2016-10-12 10:28:19
708,603,2016-05-24 23:51:00
125,626,2012-12-19 17:29:55
987,197,2014-09-24 00:00:06
649,399,2017-10-29 20:40:31
584,245,2013-09-27 23:15:26
821,132,2015-01-16 20:14:14
809,916,2015-09-20 14:13:19
122,933,2012-07-08 06:21:40
743,671,2017-08-11 11:31:49
460,947,2010-12-01 01:18:37
551,505,2014-05-03 17:15:55
201,895,2010-10-23 16:17:20
31,809,2014-01-13 06:12:30
523,795,2011-09-12 22:34:28
546,267,2010-12-29 15:26:11
959,114,2016-05-19 10:12:25
659,95,2011-11-05 00:29:22
94,191,2016-02-03 10:25:22
654,243,2011-06-19 16:47:42
208,705,2015-06-22 09:11:12
787,425,2015-10-02 09:04:13
665,927,2017-07-31 21:16:24
240,859,2017-04-10 00:55:46
567,802,2014-07-18 10:54:27
22,555,2016-05-01 18:49:40
205,979,2011-01-13 11:58:05
595,617,2017-09-01 11:28:58
321,400,2010-01-19 12:21:20
155,596,2016-02-11 08:22:58
682,338,2015-03-06 19:28:09
512,575,2012-08-08 15:06:56
199,704,2016-11-03 03:45:21
438,381,2016-03-29 10:28:51
142,229,2011-10-25 11:39:47
447,308,2014-01-30 15:44:25
353,773,2014-04-27 08:56:21
314,903,2016-11-08 15:05:07
714,934,2016-05-25 01:34:01
507,294,2013-12-17 17:16:16
95,759,2011-02-13 23:41:45
32,178,2015-09-11 09:36:15
340,620,2015-04-18 05:42:31
926,0,2015-02-14 02:08:29
180,510,2010-03-24 12:43:57
19,689,2014-07-28 08:07:39
635,818,2014-03-01 19:12:47
860,165,2017-06-01 11:23:40
670,464,2014-12-25 11:53:42
780,70,2012-02-15 09:25:46
875,887,2010-02-26 03:12:35
742,494,2012-10-31 14:44:23
144,447,2011-10-31 00:36:30
964,271,2014-11-09 09:50:46
351,777,2014-03-12 13:24:16
631,868,2014-05-30 02:08:16
995,753,2013-02-02 01:13:17
997,58,2013-07-25 15:53:55
310,347,2011-12-11 00:49:03
42,894,2012-05-09 19:13:08
537,985,2017-10-30 18:01:44
837,882,2014-06-06 17:18:52
628,878,2010-07-19 23:03:45
18,160,2013-09-18 17:02:46
115,464,2010-12-04 18:09:56
636,688,2017-10-17 03:19:43
191,47,2011-02-09 13:43:03
399,333,2016-01-27 22:20:33
875,603,2013-08-31 06:18:27
444,758,2016-10-21 11:22:22
464,163,2016-04-04 00:14:38
692,544,2015-09-29 09:45:57
459,451,2017-05-13 03:15:13
434,253,2011-08-18 19:21:27
663,159,2014-01-31 17:13:41
602,986,2016-09-30 23:46:00
673,996,2015-11-11 16:24:44
505,312,2015-02-01 17:00:23
916,346,2015-01-05 00:57:47
442,4,2014-11-26 15:51:24
549,218,2012-09-23 06:30:00
479,370,2017-08-21 12:17:25
983,158,2013-11-11 12:24:57
648,496,2011-09-07 18:58:10
878,345,2010-06-03 23:38:41
629,599,2013-10-29 03:19:55
720,883,2011-09-14 14:59:16
588,914,2017-12-28 17:01:24
36,636,2013-02-02 01:32:01
31,650,2015-08-13 09:41:38
628,715,2017-04-07 06:24:58
873,342,2013-12-21 14:54:23
430,759,2011-05-11 06:09:17
506,969,2017-04-26 09:29:22
88,695,2012-07-09 04:54:46
828,203,2016-01-10 15:46:17
356,309,2011-10-10 08:15:27
786,408,2017-05-25 10:33:03
62,231,2016-04-15 16:12:10
130,52,2013-04-16 22:37:01
850,431,2015-10-07 19:15:24
477,95,2013-02-08 23:25:04
707,659,2011-02-01 04:19:42
141,265,2015-05-16 23:56:58
527,151,2011-12-14 13:00:05
806,689,2015-07-02 05:26:42
385,929,2011-10-31 02:50:25
908,200,2012-09-22 12:29:32
19,62,2016-05-07 02:29:08
476,131,2013-01-01 11:33:30
167,681,2011-09-13 08:49:09
922,853,2010-10-19 12:20:08
635,210,2017-09-23 17:57:58
387,932,2013-03-11 08:29:04
564,759,2010-03-04 14:25:07
339,925,2013-08-19 04:48:30
350,627,2014-04-08 00:14:24
640,928,2014-09-13 16:43:54
952,894,2012-05-31 01:51:32
252,371,2017-04-25 20:28:50
14,284,2016-11-13 19:05:47
277,747,2012-05-01 21:03:03
102,118,2015-02-20 19:49:03
309,966,2016-04-22 09:48:00
371,723,2012-04-18 15:03:42
218,277,2011-01-06 21:53:57
993,830,2010-12-29 19:38:20
841,431,2013-08-26 16:19:02
406,246,2014-09-17 07:45:03
277,661,2015-07-29 17:11:03
321,154,2012-07-20 11:02:54
412,637,2013-07-03 18:51:32
911,700,2015-12-22 05:00:02
316,423,2016-08-15 07:45:12
142,249,2010-07-27 07:36:39
405,520,2015-12-22 03:24:11
795,417,2016-02-16 12:54:39
357,295,2015-12-20 13:49:55
816,174,2016-07-01 13:09:24
414,558,2017-06-09 21:41:34
317,250,2017-06-28 17:47:58
281,214,2014-05-27 00:13:33
195,714,2011-09-02 13:58:24
780,707,2011-12-12 08:22:25
838,424,2011-04-15 08:51:19
706,684,2013-08-09 02:13:56
423,511,2014-10-19 04:02:55
173,24,2012-05-14 01:29:39
760,348,2012-11-22 11:16:22
285,356,2010-09-13 18:41:54
184,446,2014-04-15 17:04:15
656,86,2015-06-10 10:26:07
628,289,2017-05-28 20:12:50
289,570,2011-03-21 18:23:29
919,636,2017-07-29 03:26:39
290,57,2015-10-02 17:26:17
874,426,2016-08-31 07:08:36
443,681,2016-09-27 12:12:07
949,301,2010-01-07 22:36:20
214,748,2010-01-14 14:49:45
313,911,2013-02-04 02:37:13
91,385,2017-03-12 12:16:04
97,131,2016-05-22 11:01:48
589,472,2015-10-12 18:43:11
186,470,2011-01-13 07:57:07
172,421,2011-06-14 12:12:33
727,487,2010-10-13 00:16:47
718,627,2014-04-24 03:42:26
412,927,2016-07-14 13:18:11
964,417,2013-04-29 04:15:16
304,277,2017-09-22 16:44:17
809,64,2010-03-09 20:41:00
487,604,2015-06-25 16:30:09
179,415,2010-09-06 19:29:29
756,221,2012-07-24 04:09:07
621,77,2010-06-11 00:01:13
539,356,2013-05-26 13:35:11
202,250,2015-07-10 20:08:40
169,270,2016-10-28 08:35:06
621,730,2010-01-30 01:28:03
499,899,2014-12-12 05:59:46
462,588,2011-03-02 22:42:25
486,412,2017-10-20 19:56:56
144,408,2010-09-05 02:11:25
428,453,2014-08-10 21:26:44
607,762,2011-03-01 12:31:13
187,862,2016-04-22 04:38:54
266,421,2013-11-17 15:37:53
848,351,2011-10-13 01:54:50
155,289,2011-08-27 03:17:41
385,347,2016-03-17 11:23:34
163,93,2011-09-15 10:54:46
828,54,2013-08-13 19:32:39
564,621,2012-02-28 04:55:47
60,540,2013-11-26 20:59:37
105,591,2014-08-20 07:28:35
981,246,2017-09-06 06:56:15
843,351,2014-02-25 05:15:23
63,826,2012-09-25 18:48:03
82,695,2011-06-19 10:00:45
15,195,2017-07-24 13:31:57
503,208,2014-04-13 02:17:05
589,669,2010-04-18 00:24:33
21,118,2017-01-12 18:16:11
510,371,2017-03-03 05:26:10
879,327,2017-10-22 09:38:49
700,200,2014-03-03 06:20:34
64,498,2011-10-18 00:27:02
238,245,2011-01-16 06:07:40
589,117,2017-12-10 11:58:37
46,238,2011-10-02 13:13:26
461,133,2015-10-12 07:06:48
444,335,2014-03-08 09:02:38
422,732,2010-03-10 11:22:47
967,871,2015-09-01 06:28:28
585,79,2016-01-23 15:35:34
197,316,2014-05-25 07:31:26
295,77,2017-07-09 20:51:23
382,46,2013-02-05 06:20:03
374,258,2013-02-27 16:03:27
556,518,2013-10-01 16:57:46
996,766,2016-10-02 05:56:43
795,934,2011-09-28 14:03:31
885,820,2013-03-10 00:55:56
315,304,2014-12-01 01:14:50
63,118,2014-07-12 04:36:14
377,701,2011-02-25 21:30:22
835,478,2014-09-14 00:07:41
14,275,2013-04-15 07:11:33
837,433,2017-05-30 08:09:14
551,638,2011-08-09 06:42:09
693,858,2012-07-28 22:38:50
702,485,2010-07-15 13:17:54
889,21,2014-04-21 11:17:59
368,988,2011-01-10 10:49:07
559,334,2017-03-12 16:49:13
980,510,2010-10-28 01:05:22
132,529,2010-10-27 20:55:33
449,993,2013-11-30 04:27:18
797,291,2015-08-03 16:06:01
571,233,2017-03-12 07:19:34
245,95,2015-02-24 23:39:58
335,415,2011-09-27 01:24:49
309,852,2013-02-07 16:12:30
526,667,2017-03-13 14:38:06
278,501,2013-03-26 00:16:29
829,154,2014-08-23 06:13:13
662,324,2010-03-16 06:42:59
420,114,2014-12-10 01:36:36
277,126,2017-03-13 14:24:02
175,762,2014-10-03 09:19:41
